,Num. Days In Fluid,Fluid Ca2+ (mM),Fluid Na+ (mM),Precursor Conc. (wt. %),Crosslinker Conc. (mM),Detach. Pressure (PSI),Nozzle Diam. (mm),Nozzle Angle (deg),Dist. P to N (cm),Angle P to N (deg),Flow Rate (uL/min),Nozzle Coating,Surface Tension (mN/m),Microgel Diam. (um)
165,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,568.0440509
166,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,532.7454489
167,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,600.9444091
168,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,527.8102606
169,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,552.149744
170,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,526.1672542
171,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,553.2032703
172,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,564.5328459
173,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,504.9959998
174,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,547.6949047
175,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,583.7129995
176,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,604.5298942
177,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,609.1241362
178,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,615.1509049
179,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,580.8552942
180,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,583.5514981
181,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,635.0754972
182,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,594.8378105
183,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,605.6099991
184,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,607.2455126
185,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,578.5529162
186,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,579.1734903
187,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,626.9814992
188,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,609.176812
189,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,586.2093936
190,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,571.8992916
191,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,575.1365366
192,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,570.145718
193,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,611.4166118
194,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,598.1573165
195,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,580.914044
196,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,604.3248635
197,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,552.6123167
198,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,587.2929926
199,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,591.6254981
200,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,539.4613214
201,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,561.0400133
202,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,549.3532067
203,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,570.3566905
204,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,565.6963388
205,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,562.1455249
206,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,551.1869128
207,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,547.8165731
208,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,580.1580046
209,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,545.4632286
210,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,568.8487868
211,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,560.789105
212,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,540.6561231
213,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,546.1113246
214,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,526.4730945
215,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,555.5004083
216,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,552.3106042
217,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,565.5285109
218,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,514.1236681
219,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,564.3947791
220,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,550.0446278
221,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,540.6647935
222,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,546.8308204
223,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,556.9391588
224,0.0,100.0,0.0,2.0,100.0,6.0,0.15,45,30.0,0,200,0,72.01,570.71859
225,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,245.4285511
226,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,283.4460731
227,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,271.9376114
228,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,269.0597394
229,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,253.3541693
230,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,250.5677395
231,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,298.1872941
232,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,262.2465803
233,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,247.5982656
234,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,256.2072921
235,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,256.4756849
236,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,238.5288954
237,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,276.6432728
238,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,257.4421953
239,0.0,100.0,0.0,2.0,100.0,40.0,0.15,45,30.0,0,200,0,72.01,266.4980029
