,Precursor Conc. (wt. %),Rel. Precursor Viscosity,Detach. Pressure (PSI),Crosslinker Conc. (mM),Dist. from Bath (mm),Surface Tension (mN/m),Formation Outcome
630,2.0,1,40,100,140,72.01,1
631,2.0,1,40,100,140,72.01,1
632,2.0,1,40,100,140,72.01,1
633,2.0,1,40,100,140,72.01,1
634,2.0,1,40,100,140,72.01,1
635,2.0,1,40,100,140,72.01,1
636,2.0,1,40,100,140,72.01,1
637,2.0,1,40,100,140,72.01,1
638,2.0,1,6,10,140,72.01,1
639,2.0,1,6,10,140,72.01,1
640,2.0,1,6,10,140,72.01,1
641,2.0,1,6,10,140,72.01,1
642,2.0,1,6,10,140,72.01,1
643,2.0,1,6,10,140,72.01,1
644,2.0,1,6,10,140,72.01,1
645,2.0,1,6,10,140,72.01,1
646,2.0,1,6,10,140,72.01,1
647,2.0,1,6,10,140,72.01,1
648,2.0,1,6,10,140,72.01,1
649,2.0,1,6,10,140,72.01,1
650,2.0,1,6,10,140,72.01,1
651,2.0,1,6,10,140,72.01,1
652,2.0,1,6,10,140,72.01,1
653,2.0,1,6,10,140,72.01,1
654,2.0,1,6,10,140,72.01,1
655,2.0,1,6,10,140,72.01,1
656,2.0,1,6,10,140,72.01,1
657,2.0,1,6,10,140,72.01,1
658,2.0,1,6,10,140,72.01,1
659,2.0,1,6,10,140,72.01,1
660,2.0,1,40,10,140,72.01,1
661,2.0,1,40,10,140,72.01,1
662,2.0,1,40,10,140,72.01,1
663,2.0,1,40,10,140,72.01,1
664,2.0,1,40,10,140,72.01,1
665,2.0,1,40,10,140,72.01,1
666,2.0,1,40,10,140,72.01,1
667,2.0,1,40,10,140,72.01,1
668,2.0,1,40,10,140,72.01,1
669,2.0,1,40,10,140,72.01,1
670,2.0,1,40,10,140,72.01,1
671,2.0,1,40,10,140,72.01,1
672,2.0,1,40,10,140,72.01,1
673,2.0,1,40,10,140,72.01,1
674,2.0,1,40,10,140,72.01,1
675,2.0,1,40,10,140,72.01,1
676,2.0,1,40,10,140,72.01,1
