,Displacement (mm),Ext. Diam. (mm),Ext. Length (cm),Est. Vol. Fraction,Fluid Ca2+ (mM),Resuspension_encoded,Syringe Diam. (mm),Microgel Conc. (%),Microgel Size (mm),Speed (mm/sec),Complex_0,YS_breakdown_33,YStrain_breakdown_33,Viscosity_0.1/s,Force (N)
170,34.4348,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.5922
171,35.694900000000004,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.3752
172,36.9545,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.5328
173,38.2148,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.5049
174,39.4749,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.3466
175,40.7346,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1814.46,3.2746
176,0.0003,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1814.46,0.0212
177,0.3987,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1814.46,4.9512
178,0.8185,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1814.46,4.8704
179,1.2381,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1814.46,4.8163
180,1.6585,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1814.46,4.7784
181,2.9182,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1814.46,4.9229
182,4.1786,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1814.46,5.016
183,5.4387,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1814.46,4.8813
184,6.6983,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1814.46,5.0097
185,7.9584,1.65,0.0,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1814.46,4.9795
