,Num_days_in_solvent,Current_solvent,Curr_solv_Ca_conc,Curr_solv_Na_conc,ALG_conc,ALG_MW,Gelation_CaCl2_conc,Air_pressure,Nozzle_diameter,Nozzle_angle,Dist_nozzle_bath,Dist_pressure_nozzle,Angle_pressure_nozzle,EtOH_conc_pct,Extrusion_flow_rate,Tip_coating,Unique ID,Diameter_um,Un_id_updated,Un_id_prev
152,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,569.5284981,7,3
153,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,580.5924976,7,3
154,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,527.514071,7,3
155,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,556.7230139,7,3
156,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,542.6363513,7,3
157,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,544.6290544,7,3
158,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,558.5774713,7,3
159,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,531.7549186,7,3
160,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,577.1471053,7,3
161,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,560.4446882,7,3
162,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,518.8831765,7,3
163,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,554.4720179,7,3
164,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,506.4655499,7,3
165,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,568.0440509,7,3
166,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,532.7454489,7,3
167,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,600.9444091,7,3
168,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,527.8102606,7,3
169,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,552.149744,7,3
170,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,526.1672542,7,3
171,0,CACL2,100,0,2,MEDIUM,100,6,0.15,45,140,30,0,0,200,NONE,7,553.2032703,7,3
